;CustomerKey;GeographyKey;FirstName;LastName;BirthDate;MaritalStatus;Gender;EmailAddress;Education;Occupation;CustomerType;CompanyName;FullName
0;9896;529;Ruben;Jimenez;1966-12-11;Single;Male;ruben29@adventure-works.com;Bachelors;Clerical;Person;;Ruben Jimenez
1;9897;635;Arthur;Sai;1966-05-14;Married;Male;arthur8@adventure-works.com;Bachelors;Skilled Manual;Person;;Arthur Sai
2;9898;503;Mayra;Sai;1966-02-24;Married;Female;mayra5@adventure-works.com;Bachelors;Skilled Manual;Person;;Mayra Sai
3;9899;586;Grant;Ferrier;1966-07-27;Married;Male;grant24@adventure-works.com;Bachelors;Skilled Manual;Person;;Grant Ferrier
4;9900;540;Angela;Cook;1965-11-06;Single;Female;angela47@adventure-works.com;Partial High School;Manual;Person;;Angela Cook
5;9901;497;Natalie;Russell;1965-04-03;Single;Female;natalie42@adventure-works.com;Partial High School;Manual;Person;;Natalie Russell
6;9902;557;Chad;Xu;1965-10-02;Single;Male;chad6@adventure-works.com;High School;Manual;Person;;Chad Xu
7;9903;567;Shane;Subram;1965-12-06;Married;Male;shane16@adventure-works.com;Bachelors;Skilled Manual;Person;;Shane Subram
8;9904;623;Robyn;Diaz;1965-10-26;Married;Female;robyn2@adventure-works.com;Bachelors;Skilled Manual;Person;;Robyn Diaz
9;9905;587;Ebony;Gomez;1965-09-18;Married;Female;ebony23@adventure-works.com;Bachelors;Skilled Manual;Person;;Ebony Gomez
10;9906;548;Jessie;Munoz;1964-06-05;Single;Female;jessie5@adventure-works.com;Partial High School;Manual;Person;;Jessie Munoz
11;9907;541;Briana;Ruiz;1964-05-09;Single;Female;briana2@adventure-works.com;Partial High School;Manual;Person;;Briana Ruiz
12;9908;659;Terrence;Shan;1964-11-21;Single;Male;terrence10@adventure-works.com;Partial High School;Manual;Person;;Terrence Shan
13;9909;517;Wyatt;Foster;1964-04-23;Single;Male;wyatt66@adventure-works.com;Partial High School;Manual;Person;;Wyatt Foster
14;9910;506;Kelly;Weadock;1963-04-22;Single;Female;kelly3@adventure-works.com;Partial High School;Manual;Person;;Kelly Weadock
15;9911;529;Carolyn;Malhotra;1966-02-21;Married;Female;carolyn5@adventure-works.com;Bachelors;Professional;Person;;Carolyn Malhotra
16;9912;529;Katrina;Raje;1966-08-02;Married;Female;katrina12@adventure-works.com;Bachelors;Professional;Person;;Katrina Raje
17;9913;640;Christy;Hu;1966-11-02;Married;Female;christy18@adventure-works.com;Bachelors;Professional;Person;;Christy Hu
18;9914;496;Wesley;Liu;1963-05-01;Single;Male;wesley4@adventure-works.com;Partial College;Clerical;Person;;Wesley Liu
19;9915;586;Gilbert;Zeng;1962-04-25;Married;Male;gilbert20@adventure-works.com;Partial College;Clerical;Person;;Gilbert Zeng
20;9916;616;Latasha;Carlson;1965-04-18;Single;Female;latasha18@adventure-works.com;Partial College;Clerical;Person;;Latasha Carlson
21;9917;491;Kathleen;Carlson;1965-05-12;Single;Female;kathleen19@adventure-works.com;Partial College;Clerical;Person;;Kathleen Carlson
22;9918;506;Tonya;Tang;1965-02-23;Married;Female;tonya4@adventure-works.com;Bachelors;Skilled Manual;Person;;Tonya Tang
23;9919;592;Neil;Ramos;1964-11-03;Married;Male;neil16@adventure-works.com;Partial College;Clerical;Person;;Neil Ramos
